id,first_taste,second_taste,third_taste,fourth_taste
323,bitter,tart,acidic,
324,chalky,sandy,tart,bland
325,spicy,black pepper,banana,
326,floral,banana,,
327,sweet,mild molasses,bland,
328,fatty,sweet,metallic,
329,powdery,floral,molasses,
330,gritty,sweet,brownie,
331,roasty and under refined,,,
332,dirt,earthy,floral,
333,floral,mild citrus,orange,
334,high roast,coffee,spicy,
335,roasty,fruit,mild metallic,
336,coffee,high roast,spicy,
337,sweet,sour dairy,,
338,smokey,sour,,
339,base cocoa w/ palm notes,,,
340,molasses,sour notes,,
341,subtle but refreshing,,,
342,vegetal,unique,,
343,off pungent,grassy,melon,
344,dirt,floral,sweet,
345,creamy,burnt wood,,
346,oily,buttery,intense,
347,over roasted,bitter,nutty,
348,roasty,almost burnt,intense,
349,creamy,woody,cocoa,
350,sandy,dairy,cocoa,
351,dry,flat flavor,astringent,
352,spice,fruit medley,roasty,
353,gritty,sweet,citrus,
354,light color,creamy,hazelnut,
355,light color,dirty,astringent,
356,light color,dirty,musty,
357,fruity,nutty,brownie,
358,bright fruit,strawberry,,
359,nutty,intense,leathery,
360,intense,earthy,fuel,
361,assertive,fruity,acidic,
362,intense,black licorice,nutty,
363,spicy,nutty,ends sour,
364,sandy,chalky,earthy,
365,raspberry,dirty,sour,
366,high astringent,sandy,grass,
367,intense,marshmallow,fruit,
368,earthy,woody,smoke,
369,intense,spice,,
370,green,vegetal,soil,fuel
371,rich,nutty,acidic,
372,distinct,short,dried fruit,
373,mild cocoa,astringent,,
374,deep cocoa,fatty,dairy,
375,creamy,blueberry,black pepper,
376,rustic,gritty,sweet,fruit
377,rustic,sweet,one dimensional,
378,oily,cherry,rich cocoa,
379,distinct lemon,,,
380,creamy,nutty,banana,rich
381,creamy,mild spice,cocoa,
382,creamy,mild spice,hazelnut,
383,creamy,earthy,dark roast,
384,gritty,fudge-like,nutty,
385,intense,roasty,rich cocoa,
386,silky,Andes mint,off nutty,
387,rich,cherries,acidic,
388,balanced,dairy,spicy,
389,dried fruit,sour,nutella,
390,sour milk,off,late tart,
391,ripe grapes,very acidic,,
392,gritty,molasses,,
393,sandy,sweet,bold citrus,
394,dry,spicy,fruity,
395,cloying,fatty,bitter,
396,klingy,hint of fruit,very bitter,
397,burnt coffee,fatty,,
398,burnt up front,,,
399,nutty,ashey,coffee,
400,fatty,controlled bitter,fruit,
401,oily surface,berry,cream,
402,intense,fatty,brownie,
403,intense,ashey,earthen,
404,dairy,chocolate,mild fruit,
405,strong nutty with off notes,,,
406,sandy,bold,cherry,
407,sweet,acidic,fatty,
408,nutty,burnt,fuel,
409,sandy,sweet,spicy,
410,sticky,sweet,grassy,
411,sweet,floral,yogurt,
412,crumbly,cinamon,,
413,perfume,chemical off note,,
414,grainy,intense,bitter,
415,tart,malt,mild smoke,
416,mild smoke,melon,,
417,fatty,woody,coffee,
418,fatty,fruit,muted,
419,woody,spicy,tobacco,
420,acidic,astringent,spicy,
421,floral,earthy,acidic,
422,overly sweet,mild spice,,
423,sweet,grassy,nutty,
424,nutty,grain,late choco,
425,mild smoke,sweet edge,,
426,sweet,marshmallow,,
427,off notes,vanilla,,
428,molasses,rich,vegetal,
429,sandy,intense,sweet,rich
430,sandy,mild intensity,fruit,
431,sandy,nutty,cocoa,
432,sandy,molasses,spice,
433,sandy,tobacco,molasses,
434,mild metallic and spice,,,
435,molasses,cocoa,,
436,sandy,fruity,acidic,metallic
437,caramel,molasses,fruit,
438,caramel,sweet,delicate,
439,soapy,earthy,,
440,med roast,grassy,dried fruit,
441,roasty,black pepper,nutty,
442,nutty,floral,roasty,
443,bright fruit,molasses,nutty,
444,nutty,roasty,caramel,
445,smooth,caramel,dried fruit,
446,smooth,mellow,floral,
447,creamy,woody,slight cherry,
448,mild fruit,off notes,,
449,nutty,roasty,smokey,
450,burnt rubber,leather,,
451,sandy,roasty,coffee,
452,dark roast,rich cocoa,,
453,butter,roasty,cocoa,nutty
454,slightly metallic,woody,berry,
455,dry,sandy,cocoa,
456,very sweet,very spicey,,
457,green,leafy,,
458,spicy,chocolatey,atypical,
459,sl. chalky,floral,pure,
460,floral,earthy,,
461,powdery,bland,mild choco,
462,bland,mild choco & leather,,
463,high roast,banana raspberry,,
464,roasty,sour milk,off note,
465,chunky,spicy,rubbery,
466,grassy,rubbery,,
467,flat,floral,medicinal,
468,flat,metallic,floral,
469,spicy,earthy off notes,,
470,sugar dominates,molasses,,
471,mild,fruity then nutty,,
472,mild,earthy,grassy,
473,sticky,bitter,molasses,tart
474,sticky,coconut,sour,bitter
475,molasses,tart,floral,
476,gritty,sweet,molasses,
477,sandy,rich,roasty,earthy
478,gritty,nutty,caramel,
479,roasty,cocoa,molasses,
480,nutty,roasty,bitter,
481,gritty,molasses,earthy,
482,unrefined,odd,vegetal,
483,nuts,coffee,peanut butter,
484,bold,rich cocoa,coffee,
485,earthy,coffee,mild,tang
486,tart,bright fruit,sour coffee,
487,sandy,sweet,cocoa,
488,sandy,fruity,burnt,
489,intense orange,floral notes,,
490,floral,orange,cocoa,
491,mild bitter,fruit,spice,
492,nutty,honey,grassy,
493,fatty,vanilla,mass market,
494,high astringent,fruit,roasty,
495,sandy,sweet,,
496,sandy,tart,ham,sweet
497,sweet,marshmallow,,
498,earthy,floral,mild bitter,
499,sweet,cardboard,,
500,long lasting,cocoa base,,
501,chewy,fudge-like,perfume,
502,oily,grassy,minty,
503,spicey,cocoa,,
504,earthy,sweet,,
505,coarse,sweet,sour,leathery
506,gritty,mild bitter,off notes,
507,oily,muted,fruity,
508,roasty,tart,slight burnt,
509,slow,fatty,subdued,nutty
510,fatty,cigarette butt,coffee,
511,dry,ashey,medicinal,
512,gritty,sweet,hot cocoa,
513,grainy,sweet,whole bean,
514,sweet,sandy,spicy,
515,bold,spice,hit of anise,
516,creamy,dried fruit,nutty,
517,smooth,spicy,cocoa,
518,rich cocoa,floral,acidic,
519,basic cocoa,mild fruit,sweet,
520,cocoa,woody,basic,
521,roasty,hammy,nutty,
522,sweet,peanut butter,,
523,red berry,bitter,roasty,sour
524,dry,sandy,cocoa,coffee
525,bitter,light lime,sour,
526,short,mild cocoa,mild fruit,
527,creamy,floral,bourbon,
528,balanced,anise,creamy,
529,raw,dirty,metallic,dry
